participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.exclude_from_data_analysis,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,participant.payoff_plus_participation_fee,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.treatment,session.config.participation_fee,session.config.real_world_currency_per_point,consent_start.1.player.id_in_group,consent_start.1.player.payoff,consent_start.1.group.id_in_subsession,consent_start.1.subsession.round_number,ultimatum_t1.1.player.id_in_group,ultimatum_t1.1.player.valid_code,ultimatum_t1.1.player.payoff,ultimatum_t1.1.group.id_in_subsession,ultimatum_t1.1.group.amount_offered,ultimatum_t1.1.group.offer_accepted,ultimatum_t1.1.subsession.round_number,consent_start2_copy.1.player.id_in_group,consent_start2_copy.1.player.payoff,consent_start2_copy.1.group.id_in_subsession,consent_start2_copy.1.subsession.round_number,ultimatum_windfall_vignette.1.player.id_in_group,ultimatum_windfall_vignette.1.player.valid_code,ultimatum_windfall_vignette.1.player.payoff,ultimatum_windfall_vignette.1.group.id_in_subsession,ultimatum_windfall_vignette.1.group.amount_offered,ultimatum_windfall_vignette.1.group.offer_accepted,ultimatum_windfall_vignette.1.subsession.round_number
1,3fdy8hve,,0,9,9,ultimatum_t1,1,Validation,10.63.30.96,2017-08-17 23:46:36.449793+00:00,0,1,,,0.00,$0.25,uhntt31b,,,,,,1,direct_response,$0.25,0.01,1,0.00,1,1,1,,0.00,2,0.99,0,1,,,,,,,,,,,
2,9th0578r,,0,9,9,ultimatum_t1,1,Validation,10.63.30.96,2017-08-17 23:47:00.732214+00:00,0,1,,,0.00,$0.25,uhntt31b,,,,,,1,direct_response,$0.25,0.01,2,0.00,1,1,2,,0.00,2,0.99,0,1,,,,,,,,,,,
1,x2kg8vtl,,0,10,10,ultimatum_windfall_vignette,1,Validation,10.138.121.5,2017-08-17 23:47:55.311754+00:00,0,1,,,0.00,$0.25,c12dfekx,,,,,,1,direct_response,$0.25,0.01,,,,,,,,,,,,1,0.00,1,1,1,,0.00,2,0.99,0,1
2,f560sfy0,,0,10,10,ultimatum_windfall_vignette,1,Validation,10.138.121.5,2017-08-17 23:48:08.088151+00:00,0,1,,,0.00,$0.25,c12dfekx,,,,,,1,direct_response,$0.25,0.01,,,,,,,,,,,,2,0.00,1,1,2,,0.00,2,0.99,0,1
1,ldtye5q2,,0,3,9,ultimatum_t1,1,WaitToStart,10.63.30.96,2017-08-17 23:49:23.816340+00:00,0,1,,,0.00,$0.25,hbj18ji7,,,,,,1,direct_response,$0.25,0.01,1,0.00,1,1,1,,0.00,1,,,1,,,,,,,,,,,
2,q2pv6qcp,,0,0,9,,,,,,0,0,,,0.00,$0.25,hbj18ji7,,,,,,1,direct_response,$0.25,0.01,2,0.00,1,1,2,,0.00,1,,,1,,,,,,,,,,,
1,6yntxmvj,,0,4,10,ultimatum_windfall_vignette,1,WaitToStart,10.63.30.96,2017-08-17 23:49:43.330871+00:00,0,1,,,0.00,$0.25,4rv6dm89,,,,,,1,direct_response,$0.25,0.01,,,,,,,,,,,,1,0.00,1,1,1,,0.00,1,,,1
2,6fnh5qxl,,0,0,10,,,,,,0,0,,,0.00,$0.25,4rv6dm89,,,,,,1,direct_response,$0.25,0.01,,,,,,,,,,,,2,0.00,1,1,2,,0.00,1,,,1
1,y783iimt,,0,8,9,ultimatum_t1,1,Results,10.157.160.84,2017-08-17 23:56:47.469104+00:00,0,1,,,0.00,$0.25,1xlykfel,,,,,,1,direct_response,$0.25,0.01,1,0.00,1,1,1,,0.00,2,0.00,0,1,,,,,,,,,,,
2,dzmw8zsf,,0,8,9,ultimatum_t1,1,Results,10.157.160.84,2017-08-17 23:57:00.696942+00:00,0,1,,,0.00,$0.25,1xlykfel,,,,,,1,direct_response,$0.25,0.01,2,0.00,1,1,2,,0.00,2,0.00,0,1,,,,,,,,,,,
1,q6nbxbkg,,0,9,10,ultimatum_windfall_vignette,1,Results,10.45.73.26,2017-08-17 23:57:14.168223+00:00,0,1,,,0.00,$0.25,zqn0u9te,,,,,,1,direct_response,$0.25,0.01,,,,,,,,,,,,1,0.00,1,1,1,,0.00,2,0.00,0,1
2,l0xqxfsw,,0,9,10,ultimatum_windfall_vignette,1,Results,10.45.73.26,2017-08-17 23:57:26.590493+00:00,0,1,,,0.00,$0.25,zqn0u9te,,,,,,1,direct_response,$0.25,0.01,,,,,,,,,,,,2,0.00,1,1,2,,0.00,2,0.00,0,1
1,pw44vr85,,0,10,9,ultimatum_t1,1,Validation,10.179.55.98,2017-08-17 23:58:44.791386+00:00,0,1,A22ABLVEI5EGPL,3U4J9857OFQSYRUWRCBEGHRHIAV7B3,0.50,$0.75,urss1qre,,,3NSCTNUR2Z256TDR73RKY2XUNPPA5E,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0,direct_response,$0.25,0.01,1,0.00,1,1,1,6882573,0.50,3,0.50,1,1,,,,,,,,,,,
2,yfo7tm5t,,0,10,9,ultimatum_t1,1,Validation,10.41.203.70,2017-08-17 23:58:54.893699+00:00,0,1,A320DPHQDR4HMQ,3PB5A5BD0WLOP8277Y3SHSIEYNN7GK,0.50,$0.75,urss1qre,,,3NSCTNUR2Z256TDR73RKY2XUNPPA5E,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0,direct_response,$0.25,0.01,2,0.00,1,1,1,545964,0.50,2,0.50,1,1,,,,,,,,,,,
3,u2tgfy5m,,0,10,9,ultimatum_t1,1,Validation,10.79.219.198,2017-08-17 23:59:00.384291+00:00,0,1,A3DJE1PIZFZNHP,38F5OAUN5OR2P4XIR4LA2SUFDN07HJ,0.00,$0.25,urss1qre,,,3NSCTNUR2Z256TDR73RKY2XUNPPA5E,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0,direct_response,$0.25,0.01,3,0.00,1,1,2,555642,0.00,15,0.00,0,1,,,,,,,,,,,
4,x681qu0x,,0,10,9,ultimatum_t1,1,Validation,10.229.95.34,2017-08-17 23:59:09.348322+00:00,0,1,A29MHT3WIY384W,3TVRFO09GLUYQFMZ0246OJ0AWXNXLA,0.50,$0.75,urss1qre,,,3NSCTNUR2Z256TDR73RKY2XUNPPA5E,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0,direct_response,$0.25,0.01,4,0.00,1,1,2,5821647,0.50,2,0.50,1,1,,,,,,,,,,,
5,bfw3o7va,,0,10,9,ultimatum_t1,1,Validation,10.16.218.184,2017-08-17 23:59:09.459655+00:00,0,1,A20ALQT1HIVSAH,3MAOD8E57RPOEFPKCFKL1B4Z1SNXNC,0.50,$0.75,urss1qre,,,3NSCTNUR2Z256TDR73RKY2XUNPPA5E,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0,direct_response,$0.25,0.01,5,0.00,1,1,2,6807217,0.50,3,0.50,1,1,,,,,,,,,,,
6,ajsgfz60,,0,10,9,ultimatum_t1,1,Validation,10.169.197.46,2017-08-17 23:59:10.202601+00:00,0,1,AY52II1OC5RZ1,3JNQLM5FT51XPZJ2CDJDYT6EJON2L5,0.50,$0.75,urss1qre,,,3NSCTNUR2Z256TDR73RKY2XUNPPA5E,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0,direct_response,$0.25,0.01,6,0.00,1,1,2,4083247,0.50,5,0.50,1,1,,,,,,,,,,,
7,b5hmb0yk,,0,8,9,ultimatum_t1,1,Results,10.141.27.204,2017-08-17 23:59:11.240403+00:00,0,1,A3CBOZUTFR0NR7,3DH6GAKTYZ47V9TDKZHHFCIHDCPZY1,0.00,$0.25,urss1qre,,,3NSCTNUR2Z256TDR73RKY2XUNPPA5E,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0,direct_response,$0.25,0.01,7,0.00,1,1,1,,0.00,11,1.00,1,1,,,,,,,,,,,
8,md6immh8,,0,10,9,ultimatum_t1,1,Validation,10.63.100.77,2017-08-17 23:59:10.863474+00:00,0,1,A1F1OZ54G177D8,3H0W84IWBLH0NDQVAHBAM6O2MJ2ER9,0.25,$0.50,urss1qre,,,3NSCTNUR2Z256TDR73RKY2XUNPPA5E,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0,direct_response,$0.25,0.01,8,0.00,1,1,2,8515978,0.25,4,0.25,1,1,,,,,,,,,,,
9,c7xb3pop,,0,10,9,ultimatum_t1,1,Validation,10.63.100.174,2017-08-17 23:59:16.442210+00:00,0,1,A1BAPMRIU7SGSP,3U5JL4WY5LO2S7FEUA5P22YZABT4XP,0.50,$0.75,urss1qre,,,3NSCTNUR2Z256TDR73RKY2XUNPPA5E,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0,direct_response,$0.25,0.01,9,0.00,1,1,1,371118,0.50,5,0.50,1,1,,,,,,,,,,,
10,agku1j95,,0,10,9,ultimatum_t1,1,Validation,10.169.197.46,2017-08-17 23:59:27.725554+00:00,0,1,A2YFTTVAH9AFXU,39N5ACM9HF2YG4JZPERZPXNCU4Y9P2,0.75,$1.00,urss1qre,,,3NSCTNUR2Z256TDR73RKY2XUNPPA5E,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0,direct_response,$0.25,0.01,10,0.00,1,1,1,74378,0.75,4,0.25,1,1,,,,,,,,,,,
11,90dc1m24,,0,10,9,ultimatum_t1,1,Validation,10.158.177.57,2017-08-17 23:59:39.048455+00:00,0,1,AKR5KNSS8LRLA,3TXWC2NHN05VTWZRHVVTK2SNHO59SI,0.00,$0.25,urss1qre,,,3NSCTNUR2Z256TDR73RKY2XUNPPA5E,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0,direct_response,$0.25,0.01,11,0.00,1,1,1,5917948,0.00,7,0.00,0,1,,,,,,,,,,,
12,6wcj9pe1,,0,10,9,ultimatum_t1,1,Validation,10.43.196.234,2017-08-17 23:59:47.298487+00:00,0,1,A2JLS8VHLTWVP8,3JMSRU9HQJ9SGK7CJ1GKN3D57PFEV2,0.00,$0.25,urss1qre,,,3NSCTNUR2Z256TDR73RKY2XUNPPA5E,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0,direct_response,$0.25,0.01,12,0.00,1,1,1,1002277,0.00,6,0.50,0,1,,,,,,,,,,,
13,qazh8h6v,,0,8,9,ultimatum_t1,1,Results,10.236.23.161,2017-08-18 00:00:24.613692+00:00,0,1,A38BXBQYWC6B6C,3VELCLL3GLY40MRA7YG1YXRPUMNF1W,0.00,$0.25,urss1qre,,,3NSCTNUR2Z256TDR73RKY2XUNPPA5E,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0,direct_response,$0.25,0.01,13,0.00,1,1,2,,0.00,6,0.50,0,1,,,,,,,,,,,
14,6zbl0rd0,,0,10,9,ultimatum_t1,1,Validation,10.109.135.32,2017-08-18 00:00:32.609540+00:00,0,1,A2TTRW1EE029C7,3XIQGXAUMDNZBUXXW83W5EI91DJ7XC,0.00,$0.25,urss1qre,,,3NSCTNUR2Z256TDR73RKY2XUNPPA5E,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0,direct_response,$0.25,0.01,14,0.00,1,1,2,9610093,0.00,7,0.00,0,1,,,,,,,,,,,
15,hfxrshbv,,0,8,9,ultimatum_t1,1,Results,10.231.231.232,2017-08-18 00:00:39.746308+00:00,0,1,A28MVFON0ULDPZ,3QFUFYSY9ZULSLOTUGZ3WVYS66XF49,0.00,$0.25,urss1qre,,,3NSCTNUR2Z256TDR73RKY2XUNPPA5E,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0,direct_response,$0.25,0.01,15,0.00,1,1,1,,0.00,29,0.00,0,1,,,,,,,,,,,
16,uhwvx91p,,0,10,9,ultimatum_t1,1,Validation,10.61.164.249,2017-08-18 00:00:53.064678+00:00,0,1,A2WA7ED6J0DJXH,33NF62TLXKHMBPZSYYD4IAFGWZ4KJ7,0.50,$0.75,urss1qre,,,3NSCTNUR2Z256TDR73RKY2XUNPPA5E,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0,direct_response,$0.25,0.01,16,0.00,1,1,2,9067114,0.50,14,0.50,1,1,,,,,,,,,,,
17,jiy9wmoj,,0,10,9,ultimatum_t1,1,Validation,10.170.176.153,2017-08-18 00:01:20.830798+00:00,0,1,A1ROEDVMTO9Y3X,3Z7EFSHGNAT5NBSTNPB7L0AN2OACXA,0.50,$0.75,urss1qre,,,3NSCTNUR2Z256TDR73RKY2XUNPPA5E,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0,direct_response,$0.25,0.01,17,0.00,1,1,1,8136081,0.50,8,0.50,1,1,,,,,,,,,,,
18,ertf3css,,0,8,9,ultimatum_t1,1,Results,10.150.135.91,2017-08-18 00:01:30.073525+00:00,0,1,A3QAHF4UUBM7ZO,3DIP6YHAPD7U58BZB85AVPTXWRE8ER,0.00,$0.25,urss1qre,,,3NSCTNUR2Z256TDR73RKY2XUNPPA5E,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0,direct_response,$0.25,0.01,18,0.00,1,1,2,,0.00,30,0.50,0,1,,,,,,,,,,,
19,8v5p3jkn,,0,8,9,ultimatum_t1,1,Results,10.179.55.98,2017-08-18 00:02:12.170178+00:00,0,1,A2ID4B3JMUWAP7,3QFUFYSY9ZULSLOTUGZ3WVYS66XF49,0.00,$0.25,urss1qre,,,3NSCTNUR2Z256TDR73RKY2XUNPPA5E,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0,direct_response,$0.25,0.01,19,0.00,1,1,1,,0.00,15,0.00,0,1,,,,,,,,,,,
20,sbhd8opz,,0,10,9,ultimatum_t1,1,Validation,10.183.102.41,2017-08-18 00:02:22.517427+00:00,0,1,A26FM08JXUPEZO,3IFS6Q0HJJYO4XSULP16XVRQ0ESSIK,0.50,$0.75,urss1qre,,,3NSCTNUR2Z256TDR73RKY2XUNPPA5E,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0,direct_response,$0.25,0.01,20,0.00,1,1,2,8574904,0.50,8,0.50,1,1,,,,,,,,,,,
21,xyxm9mlw,,0,10,9,ultimatum_t1,1,Validation,10.155.8.85,2017-08-18 00:04:13.376056+00:00,0,1,A1XQ9VRCDQ922Y,36AHBNMV1SR4S8OHSHSKOKZEPUGYD2,0.50,$0.75,urss1qre,,,3NSCTNUR2Z256TDR73RKY2XUNPPA5E,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0,direct_response,$0.25,0.01,21,0.00,1,1,1,4127088,0.50,9,0.50,1,1,,,,,,,,,,,
22,y8crdd1o,,0,9,9,ultimatum_t1,1,Validation,10.179.55.98,2017-08-18 00:04:35.370211+00:00,0,1,AT94Y12KEGKNO,31QTRG6Q2USDH5R7XQJFOEG33DJYPG,0.50,$0.75,urss1qre,,,3NSCTNUR2Z256TDR73RKY2XUNPPA5E,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0,direct_response,$0.25,0.01,22,0.00,1,1,2,,0.50,9,0.50,1,1,,,,,,,,,,,
23,7yont13r,,0,10,9,ultimatum_t1,1,Validation,10.150.73.107,2017-08-18 00:05:43.704153+00:00,0,1,AQS0AL80A1UP6,33PPUNGG39KYY8HR64PN7GPKAPBRZS,0.75,$1.00,urss1qre,,,3NSCTNUR2Z256TDR73RKY2XUNPPA5E,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0,direct_response,$0.25,0.01,23,0.00,1,1,1,,0.75,10,0.25,1,1,,,,,,,,,,,
24,zlwg3lfz,,0,8,9,ultimatum_t1,1,Results,10.231.231.232,2017-08-18 00:07:05.134411+00:00,0,1,A3MGW067K291R1,3SNLUL3WO5269BS4VXTJ4C162F7ULG,0.00,$0.25,urss1qre,,,3NSCTNUR2Z256TDR73RKY2XUNPPA5E,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0,direct_response,$0.25,0.01,24,0.00,1,1,1,,0.00,33,0.00,0,1,,,,,,,,,,,
25,x5g12oh9,,0,10,9,ultimatum_t1,1,Validation,10.93.229.188,2017-08-18 00:08:04.611961+00:00,0,1,AK86DN5LJDCCK,3I33IC7ZWGHGTGSYFMUNPFQ3PCPA2W,0.50,$0.75,urss1qre,,,3NSCTNUR2Z256TDR73RKY2XUNPPA5E,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0,direct_response,$0.25,0.01,25,0.00,1,1,1,3934862,0.50,12,0.50,1,1,,,,,,,,,,,
26,qqryiinl,,0,10,9,ultimatum_t1,1,Validation,10.111.221.243,2017-08-18 00:08:21.244561+00:00,0,1,A1CHPMSBMHCIWH,3TVRFO09GLUYQFMZ0246OJ0AWXOXLB,1.00,$1.25,urss1qre,,,3NSCTNUR2Z256TDR73RKY2XUNPPA5E,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0,direct_response,$0.25,0.01,26,0.00,1,1,2,6134122,1.00,11,1.00,1,1,,,,,,,,,,,
27,50dgnjx2,,0,10,9,ultimatum_t1,1,Validation,10.179.86.73,2017-08-18 00:09:07.804551+00:00,0,1,AVA4W3FRMY9HH,3UNH76FOCTK7W2UU5ARN7AM8Y89MY9,0.25,$0.50,urss1qre,,,3NSCTNUR2Z256TDR73RKY2XUNPPA5E,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0,direct_response,$0.25,0.01,27,0.00,1,1,2,5390824,0.25,10,0.25,1,1,,,,,,,,,,,
28,4cxmc2ek,,0,9,9,ultimatum_t1,1,Validation,10.43.196.234,2017-08-18 00:09:15.862814+00:00,0,1,A2II2W80AGDMBT,3HUTX6F6VV25VKMZP5Z5QAA8ETS2OM,0.00,$0.25,urss1qre,,,3NSCTNUR2Z256TDR73RKY2XUNPPA5E,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0,direct_response,$0.25,0.01,28,0.00,1,1,2,,0.00,13,0.00,0,1,,,,,,,,,,,
29,en4l7vk0,,0,10,9,ultimatum_t1,1,Validation,10.147.39.151,2017-08-18 00:10:02.829343+00:00,0,1,A2ZRF4I5RTKN7G,3RU7GD8VPP8GLJFYYKRQ6SS2MSOSPX,0.50,$0.75,urss1qre,,,3NSCTNUR2Z256TDR73RKY2XUNPPA5E,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0,direct_response,$0.25,0.01,29,0.00,1,1,2,4719785,0.50,12,0.50,1,1,,,,,,,,,,,
30,7275ixuz,,0,8,9,ultimatum_t1,1,Results,10.178.64.67,2017-08-18 00:11:33.304315+00:00,0,1,ACVXBOS4CZGVQ,3A4TN5196LX81LSEILTLIEMTEYSHCN,0.00,$0.25,urss1qre,,,3NSCTNUR2Z256TDR73RKY2XUNPPA5E,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0,direct_response,$0.25,0.01,30,0.00,1,1,1,,0.00,13,0.00,0,1,,,,,,,,,,,
31,ra9nvsn5,,0,8,9,ultimatum_t1,1,Results,10.141.27.204,2017-08-18 00:12:28.267920+00:00,0,1,A390LJJVHF36FX,3NLZY2D53Q4EHILNEO9EUB4HZU2LQ3,0.00,$0.25,urss1qre,,,3NSCTNUR2Z256TDR73RKY2XUNPPA5E,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0,direct_response,$0.25,0.01,31,0.00,1,1,2,,0.00,33,0.00,0,1,,,,,,,,,,,
32,pe6grr7b,,0,10,9,ultimatum_t1,1,Validation,10.157.160.84,2017-08-18 00:13:30.922045+00:00,0,1,A3P9BBIGUZ53BX,3QJOXOW4XK69QXD359FT07USGW4MEU,0.50,$0.75,urss1qre,,,3NSCTNUR2Z256TDR73RKY2XUNPPA5E,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0,direct_response,$0.25,0.01,32,0.00,1,1,1,230254,0.50,14,0.50,1,1,,,,,,,,,,,
33,p29j30nr,,0,8,9,ultimatum_t1,1,Results,10.169.124.243,2017-08-18 00:15:11.855240+00:00,0,1,A1VL7AAOUPDN72,3Q8GYXHFEQHWLS8JHJSCTHJ39P25CV,0.00,$0.25,urss1qre,,,3NSCTNUR2Z256TDR73RKY2XUNPPA5E,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0,direct_response,$0.25,0.01,33,0.00,1,1,2,,0.00,17,0.50,0,1,,,,,,,,,,,
